"Tract","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS","nBGs"
"26163523800","Census Tract 5238; Wayne County; Michigan",1270,3759,1063,729,522,230,1215,2544,11.5063032041352,4
"26163524001","Census Tract 5240.01; Wayne County; Michigan",1013,2553,666,550,367,214,756,1797,8.14251462672165,3
"26163524101","Census Tract 5241.01; Wayne County; Michigan",1519,3730,897,714,607,365,1147,2583,11.6505838863629,2
"26163524200","Census Tract 5242; Wayne County; Michigan",1463,4366,1122,901,577,284,1482,2884,13.0813786589064,3
"26163524300","Census Tract 5243; Wayne County; Michigan",880,2626,672,555,382,167,850,1776,8.05124754760085,3
"26163524500","Census Tract 5245; Wayne County; Michigan",39,83,20,17,21,13,12,71,0.318081175983351,3
"26163524600","Census Tract 5246; Wayne County; Michigan",666,1401,328,266,280,142,385,1016,4.56816613484088,1
"26163524700","Census Tract 5247; Wayne County; Michigan",1858,3768,743,645,878,688,814,2954,13.1970901933793,3
"26163524800","Census Tract 5248; Wayne County; Michigan",1174,2586,536,466,527,429,628,1958,8.77691869068525,2
"26163525400","Census Tract 5254; Wayne County; Michigan",844,1795,413,288,395,216,483,1312,5.86508575716766,2
"26163525700","Census Tract 5257; Wayne County; Michigan",1483,4403,1057,956,606,287,1497,2906,13.1996646872466,4
"26163525800","Census Tract 5258; Wayne County; Michigan",640,1781,460,352,233,95,641,1140,5.16873578814557,2
"26163525900","Census Tract 5259; Wayne County; Michigan",962,2610,634,547,382,208,839,1771,8.02352136219323,3
"26163526000","Census Tract 5260; Wayne County; Michigan",965,3043,834,538,383,193,1095,1948,8.80328581041523,2
"26163526100","Census Tract 5261; Wayne County; Michigan",747,2753,741,468,284,186,1074,1679,7.59718474268202,2
"26163526200","Census Tract 5262; Wayne County; Michigan",875,3026,810,580,300,179,1157,1869,8.48923124826623,3
"26163526300","Census Tract 5263; Wayne County; Michigan",1106,3345,827,685,390,202,1241,2104,9.56246537081942,3
"26163526400","Census Tract 5264; Wayne County; Michigan",508,1417,363,265,205,131,453,964,4.35152881463936,2
"26163526500","Census Tract 5265; Wayne County; Michigan",969,1796,451,315,314,232,484,1312,5.89195087875235,2
"26163527900","Census Tract 5279; Wayne County; Michigan",1452,1835,421,368,357,240,449,1386,6.23674104882477,4
"26163530100","Census Tract 5301; Wayne County; Michigan",1389,2336,535,407,574,351,469,1867,8.34073450485069,2
"26163530200","Census Tract 5302; Wayne County; Michigan",1583,3546,1364,482,627,430,643,2903,12.9500254863823,3
"26163530300","Census Tract 5303; Wayne County; Michigan",780,1341,303,265,275,183,315,1026,4.61109461513951,3
"26163530400","Census Tract 5304; Wayne County; Michigan",782,1283,329,184,245,143,382,901,4.02617798151307,2
"26163530500","Census Tract 5305; Wayne County; Michigan",1177,2253,571,387,436,319,540,1713,7.67576784397678,2
"26163530800","Census Tract 5308; Wayne County; Michigan",1011,1394,333,231,310,218,302,1092,4.87919892034313,2
"26163530900","Census Tract 5309; Wayne County; Michigan",1273,1698,373,269,360,279,417,1281,5.72238648400587,3
"26163531100","Census Tract 5311; Wayne County; Michigan",774,946,231,159,282,113,161,785,3.49529276442414,1
"26163531200","Census Tract 5312; Wayne County; Michigan",1134,2242,593,430,433,337,449,1793,8.05023861125049,2
"26163531300","Census Tract 5313; Wayne County; Michigan",667,1153,253,190,277,173,260,893,3.98653998935051,1
"26163531400","Census Tract 5314; Wayne County; Michigan",891,1518,361,253,305,235,364,1154,5.16435740255838,2
"26163531501","Census Tract 5315.01; Wayne County; Michigan",860,1276,325,259,244,154,294,982,4.42029934523846,2
"26163531502","Census Tract 5315.02; Wayne County; Michigan",625,809,185,140,165,90,229,580,2.60083232550964,1
"26163531600","Census Tract 5316; Wayne County; Michigan",1015,1644,394,294,387,215,354,1290,5.77204633912361,2
"26163531700","Census Tract 5317; Wayne County; Michigan",1005,1645,369,246,373,259,398,1247,5.55939069606268,2
"26163531800","Census Tract 5318; Wayne County; Michigan",960,1500,349,255,322,201,373,1127,5.04417175925999,2
"26163531900","Census Tract 5319; Wayne County; Michigan",527,866,179,159,206,113,209,657,2.94237974457296,1
"26163532100","Census Tract 5321; Wayne County; Michigan",1160,2162,590,425,412,353,382,1780,7.99340851039163,2
"26163532400","Census Tract 5324; Wayne County; Michigan",959,1569,442,296,338,179,314,1255,5.62847584285533,1
"26163532600","Census Tract 5326; Wayne County; Michigan",1490,2068,627,337,454,315,335,1733,7.73734440781568,2
"26163532700","Census Tract 5327; Wayne County; Michigan",499,558,143,103,85,75,152,406,1.82797294960539,1
"26163533000","Census Tract 5330; Wayne County; Michigan",794,1426,322,223,348,238,295,1131,5.0402938000437,2
"26163533100","Census Tract 5331; Wayne County; Michigan",977,1388,311,207,244,293,333,1055,4.71264184176676,2
"26163533200","Census Tract 5332; Wayne County; Michigan",703,1104,292,164,209,174,265,839,3.74732341710695,2
"26163533300","Census Tract 5333; Wayne County; Michigan",761,1196,275,177,285,185,274,922,4.10675102689774,2
"26163533400","Census Tract 5334; Wayne County; Michigan",1468,2215,551,360,429,306,569,1646,7.368085110315,3
"26163533600","Census Tract 5336; Wayne County; Michigan",991,1390,302,275,279,179,355,1035,4.65516322785815,2
