"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635358002","26163535800","Block Group 2; Census Tract 5358; Wayne County; Michigan",360,792,159,127,180,100,226,566,2.52949752288764
"261635358003","26163535800","Block Group 3; Census Tract 5358; Wayne County; Michigan",444,888,218,164,174,131,201,687,3.08259549501376
"261635358004","26163535800","Block Group 4; Census Tract 5358; Wayne County; Michigan",279,635,142,112,143,89,149,486,2.17533723850823
"261635358005","26163535800","Block Group 5; Census Tract 5358; Wayne County; Michigan",389,800,177,135,154,142,192,608,2.72214927832064
"261635361001","26163536100","Block Group 1; Census Tract 5361; Wayne County; Michigan",498,1026,269,180,168,120,289,737,3.31315286201485
"261635361002","26163536100","Block Group 2; Census Tract 5361; Wayne County; Michigan",772,1443,289,205,214,347,388,1055,4.71478540769494
"261635361003","26163536100","Block Group 3; Census Tract 5361; Wayne County; Michigan",493,858,230,145,163,87,233,625,2.80293124756659
"261635362001","26163536200","Block Group 1; Census Tract 5362; Wayne County; Michigan",272,689,162,104,113,110,200,489,2.18932100406458
"261635362002","26163536200","Block Group 2; Census Tract 5362; Wayne County; Michigan",606,1476,325,272,271,188,420,1056,4.74775892093138
"261635363001","26163536300","Block Group 1; Census Tract 5363; Wayne County; Michigan",564,1123,299,198,171,118,337,786,3.53822088573952
"261635363002","26163536300","Block Group 2; Census Tract 5363; Wayne County; Michigan",302,600,160,84,117,70,169,431,1.92399996715541
"261635363003","26163536300","Block Group 3; Census Tract 5363; Wayne County; Michigan",499,1013,256,182,185,157,233,780,3.49979919426652
"261635364001","26163536400","Block Group 1; Census Tract 5364; Wayne County; Michigan",475,874,194,177,148,141,214,660,2.97354685921911
"261635364002","26163536400","Block Group 2; Census Tract 5364; Wayne County; Michigan",454,749,143,126,172,118,190,559,2.498701169264
"261635364003","26163536400","Block Group 3; Census Tract 5364; Wayne County; Michigan",313,522,125,79,126,60,132,390,1.73890365740701
"261635365001","26163536500","Block Group 1; Census Tract 5365; Wayne County; Michigan",482,890,213,166,166,146,199,691,3.10205953348075
"261635365002","26163536500","Block Group 2; Census Tract 5365; Wayne County; Michigan",644,1207,275,234,224,173,301,906,4.07469949723761
"261635265002","26163526500","Block Group 2; Census Tract 5265; Wayne County; Michigan",448,856,213,153,145,109,236,620,2.78692479114025
"261635254001","26163525400","Block Group 1; Census Tract 5254; Wayne County; Michigan",461,766,145,105,220,122,174,592,2.62590535488735
